date,resolved_by_end_date,count
2020-01-23,yes,2
2020-01-24,yes,1
2020-02-21,yes,1
2020-02-25,yes,1
2020-02-26,yes,1
2020-02-27,yes,2
2020-02-28,yes,5
2020-02-29,yes,4
2020-03-01,yes,2
2020-03-03,yes,2
2020-03-04,yes,1
2020-03-05,yes,4
2020-03-06,yes,2
2020-03-07,yes,3
2020-03-08,yes,5
2020-03-09,yes,5
2020-03-10,yes,9
2020-03-11,yes,24
2020-03-12,yes,37
2020-03-13,yes,36
2020-03-14,yes,31
2020-03-15,yes,36
2020-03-16,yes,53
2020-03-17,yes,58
2020-03-18,yes,57
2020-03-19,yes,65
2020-03-20,yes,97
2020-03-21,yes,71
2020-03-22,yes,85
2020-03-23,yes,142
2020-03-24,yes,171
2020-03-25,yes,136
2020-03-26,yes,247
2020-03-27,yes,291
2020-03-28,yes,235
2020-03-29,yes,227
2020-03-30,yes,436
2020-03-31,yes,410
2020-04-01,yes,448
2020-04-02,yes,448
2020-04-03,yes,463
2020-04-04,yes,349
2020-04-05,yes,371
2020-04-06,yes,473
2020-04-07,yes,457
2020-04-08,yes,488
2020-04-09,yes,479
2020-04-10,yes,398
2020-04-11,yes,470
2020-04-12,yes,538
2020-04-13,yes,592
2020-04-14,yes,552
2020-04-15,yes,613
2020-04-16,yes,572
2020-04-17,yes,740
2020-04-18,yes,601
2020-04-19,yes,591
2020-04-20,yes,609
2020-04-21,yes,518
2020-04-22,yes,546
2020-04-23,yes,510
2020-04-24,yes,433
2020-04-25,yes,425
2020-04-26,yes,367
2020-04-27,yes,479
2020-04-28,yes,411
2020-04-29,yes,407
2020-04-30,no,1
2020-04-30,yes,403
2020-05-01,yes,488
2020-05-02,yes,332
2020-05-03,yes,339
2020-05-04,yes,332
2020-05-05,yes,409
2020-05-06,yes,355
2020-05-07,yes,304
2020-05-08,yes,295
2020-05-09,yes,310
2020-05-10,yes,292
2020-05-11,yes,215
2020-05-12,yes,248
2020-05-13,yes,351
2020-05-14,yes,341
2020-05-15,yes,380
2020-05-16,yes,365
2020-05-17,yes,418
2020-05-18,yes,378
2020-05-19,yes,326
2020-05-20,yes,387
2020-05-21,yes,339
2020-05-22,yes,401
2020-05-23,yes,367
2020-05-24,yes,341
2020-05-25,yes,398
2020-05-26,yes,273
2020-05-27,yes,324
2020-05-28,yes,325
2020-05-29,yes,595
2020-05-30,yes,346
2020-05-31,yes,414
2020-06-01,yes,398
2020-06-02,yes,366
2020-06-03,yes,347
2020-06-04,no,1
2020-06-04,yes,278
2020-06-05,yes,278
2020-06-06,yes,222
2020-06-07,yes,207
2020-06-08,yes,215
2020-06-09,yes,216
2020-06-10,yes,237
2020-06-11,yes,187
2020-06-12,yes,239
2020-06-13,yes,171
2020-06-14,yes,144
2020-06-15,yes,178
2020-06-16,yes,176
2020-06-17,yes,192
2020-06-18,yes,198
2020-06-19,yes,189
2020-06-20,yes,155
2020-06-21,yes,175
2020-06-22,yes,203
2020-06-23,yes,151
2020-06-24,yes,164
2020-06-25,yes,146
2020-06-26,yes,182
2020-06-27,yes,231
2020-06-28,yes,205
2020-06-29,yes,130
2020-06-30,yes,177
2020-07-01,yes,151
2020-07-02,yes,141
2020-07-03,yes,152
2020-07-04,yes,127
2020-07-05,yes,92
2020-07-06,yes,105
2020-07-07,yes,139
2020-07-08,yes,142
2020-07-09,yes,137
2020-07-10,yes,124
2020-07-11,yes,128
2020-07-12,yes,113
2020-07-13,yes,98
2020-07-14,yes,105
2020-07-15,yes,133
2020-07-16,yes,143
2020-07-17,yes,165
2020-07-18,yes,174
2020-07-19,yes,121
2020-07-20,yes,178
2020-07-21,yes,118
2020-07-22,yes,122
2020-07-23,yes,194
2020-07-24,yes,139
2020-07-25,yes,119
2020-07-26,yes,125
2020-07-27,yes,121
2020-07-28,yes,122
2020-07-29,yes,99
2020-07-30,yes,109
2020-07-31,yes,126
2020-08-01,yes,102
2020-08-02,yes,57
2020-08-03,yes,98
2020-08-04,yes,88
2020-08-05,yes,81
2020-08-06,yes,96
2020-08-07,yes,81
2020-08-08,yes,92
2020-08-09,yes,90
2020-08-10,yes,69
2020-08-11,yes,88
2020-08-12,yes,96
2020-08-13,yes,91
2020-08-14,yes,91
2020-08-15,yes,85
2020-08-16,yes,100
2020-08-17,yes,99
2020-08-18,yes,104
2020-08-19,yes,104
2020-08-20,yes,108
2020-08-21,yes,133
2020-08-22,yes,82
2020-08-23,yes,101
2020-08-24,yes,118
2020-08-25,yes,120
2020-08-26,yes,132
2020-08-27,yes,150
2020-08-28,yes,121
2020-08-29,yes,111
2020-08-30,yes,122
2020-08-31,yes,136
2020-09-01,yes,123
2020-09-02,yes,126
2020-09-03,yes,168
2020-09-04,yes,155
2020-09-05,yes,147
2020-09-06,yes,193
2020-09-07,yes,172
2020-09-08,yes,181
2020-09-09,yes,193
2020-09-10,yes,202
2020-09-11,yes,265
2020-09-12,yes,298
2020-09-13,yes,213
2020-09-14,yes,280
2020-09-15,yes,316
2020-09-16,yes,335
2020-09-17,yes,430
2020-09-18,yes,398
2020-09-19,yes,401
2020-09-20,yes,400
2020-09-21,yes,389
2020-09-22,yes,370
2020-09-23,yes,395
2020-09-24,yes,428
2020-09-25,yes,515
2020-09-26,yes,626
2020-09-27,yes,561
2020-09-28,yes,533
2020-09-29,yes,607
2020-09-30,yes,684
2020-10-01,yes,622
2020-10-02,yes,675
2020-10-03,no,1
2020-10-03,yes,541
2020-10-04,yes,586
2020-10-05,no,1
2020-10-05,yes,578
2020-10-06,yes,759
2020-10-07,yes,881
2020-10-08,yes,745
2020-10-09,yes,799
2020-10-10,no,1
2020-10-10,yes,688
2020-10-11,yes,798
2020-10-12,yes,592
2020-10-13,yes,834
2020-10-14,yes,881
2020-10-15,yes,765
2020-10-16,yes,706
2020-10-17,yes,706
2020-10-18,yes,803
2020-10-19,yes,754
2020-10-20,yes,760
2020-10-21,yes,842
2020-10-22,yes,992
2020-10-23,yes,953
2020-10-24,yes,939
2020-10-25,yes,883
2020-10-26,yes,776
2020-10-27,yes,875
2020-10-28,yes,926
2020-10-29,yes,891
2020-10-30,yes,1091
2020-10-31,yes,944
2020-11-01,yes,1101
2020-11-02,yes,967
2020-11-03,yes,878
2020-11-04,yes,946
2020-11-05,yes,1261
2020-11-06,yes,1296
2020-11-07,yes,1162
2020-11-08,yes,1323
2020-11-09,no,2
2020-11-09,yes,1425
2020-11-10,no,1
2020-11-10,yes,1573
2020-11-11,no,2
2020-11-11,yes,1536
2020-11-12,no,1
2020-11-12,yes,1591
